電影名稱,類型,評分,電影海報,年分,簡介,國家/地區,評論1,評論2,評論3,評論4,評論5
愿望树 ,剧情、喜剧、爱情,7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2357404293.jpg,10/28/2001,"主演AmanDa Strang是一位中法混血美女，也是广告商的宠儿。
                                    
                                　　Jean（Amanda 饰）的姐姐Macy与阿迪的哥哥（陈冠希 饰）相恋，却遭到家人反对。两人相约在雪山上相见，Macy等待数月却不见男友踪影，终于支持不住，临死前留下遗嘱希望在2001年情人节前，妹妹将自己的骨灰带上山。其实男友在赴约当日途中在公路上失事，而他的弟弟阿迪（陈冠希 饰）也有着和Jean相同的任务。因为他们早已订下婚盟，要赶在2001年情人节当天举行婚礼。阿迪对自己生活感到茫然，终日飞车度日，每天早上帮父亲送报。Jean从小有心脏病，又沉浸在失去姐姐的悲痛中。两人通往雪山的路上相遇，哥哥姐姐的事将两人距离拉近，而在一次雪崩意外中，更令两人擦出爱的火花。命运弄人，Jean父亲的到来，立刻为这份感情蒙上阴影，而他们又将重踏哥哥姐姐的同样的宿命吗？",中国香港,大小姐和修车技工的故事 不错的纯爱故事 看得我少女心满满～讲真，冠希穿那件修车服的时候我还以为是什么潮牌外套呢，然后看到其他人穿，嗯，是技工服……,久违的纯爱，纯似蒸馏水，Angelababy整完容后神似女主角Amanda Strang。陈冠希有高颜值好演技，我现在非常憎恨那个出卖了他的修电脑的人，丫的自以为是毁了香港影坛最后的一批年轻人。,"不得不提Amanda,olay御用的女主角.真的太漂亮了~",EDISON 纯爱 好讽刺,年輕。青澀。帥哥。美女。唯美。愛情。
我们停战吧 ,剧情、爱情,5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2242169591.jpg,06/16/2017,"「希腊神话有一个传说，人类原本是男女同体，两个头，四只手，四只脚…然而天神宙斯妒忌人类太幸福，于是用雷电劈开男和女，命运女神把本来一对对的男女分散各地，令他们忘记对方。但是人类的心灵仍然保留了另一半的感觉，于是人类就凭着这丝感觉在人世间寻找另一半…」
                                    
                                　　叶香香 (林熹瞳 饰) 的女儿叶家家 (汤怡 饰) 希望从明信中学里的华丽而又神秘之图书馆内，寻找亲生母亲生前的足迹；就在一次反对大集团拆迁此极具历史文物价值的图书馆大楼的抗争活动中，家家竟遇上了古华生 (林文龙 饰) 的爱徒陈家强 (谭耀文 饰) ；一连串凄美残酷的真相均偶发在这图书馆大楼内。家家揭发了自己的养母 (张文慈 饰) 竟是害死母亲爱人古华生的主要帮凶！爱恨交纒，一触即发。",中国香港,看到片头几页PPT的获奖记录就觉得很囧……然后果然看的过程满眼都能感受到编剧兼女主兼主题曲演唱者的林熹瞳的自恋和傻逼，服了！,是一部极具创新及前瞻性的香港本土电影 电影主要来回穿梭1992年 2012年和戏中戏三个时代及背景 本戏以零碎片段的形式去细味呈现中国香港极具历史性的共同回忆 当中包括鸦片战争 三年零八个月 沙士疫症爆发等也囊括其中 本戏希望透过具有舞台感且感染力强的导演手法去让观众享受前所未有的媒体艺术体验,师生恋,"林熹瞳小姐嘅演出編劇係得嘅,尤其將 老土師生戀拍出新意,表面間場內有深意嘅魔幻場面,吸睛大法，又客凸出其本人優點， 譚耀文先生演出也很討好， 絕世觀音兵好合新潮流，當娘娘個兵最緊要神心， 照顧得個媽梗要睇住個女即公主， 最後原來沙士令題旨更深化！！",看过最傻逼的香港电影，没有之一。
大约在冬季 ,剧情、爱情,5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2571441805.jpg,11/15/2019,1991年齐秦狂飙演唱会上，北师大才女安然（马思纯 饰）和来自台北的摄影师齐啸（霍建华 饰）因缘相识，曲终人散后再度重逢的二人陷入热恋，然而不是勇敢就一定能拥有爱，不是所有再见都能再见！在漂泊岁月中，弄丢了挚爱的我们，是否还能安然无恙？没有我的日子里，你是否能保重自己？2019年，齐啸和安然能否重逢？,中国大陆,抗过所有尴尬 撑过所有鸡皮疙瘩 亮点还是有 就是太尬了,对照着看马思纯站在椅子上甩围巾和文淇站在椅子上甩围巾，就能知道什么叫傻大姐什么叫真少女；对照着看周冬雨的哭戏和马思纯的哭戏，就能知道谁是真·金马影后谁只是青春疼痛小说封面女孩。要表现女主角的天真我懂，但也不用让马思纯仰着一张傻脸流着泪问“只要我爱你，只要你爱我，我们有什么不能一起面对”这种大白话吧……霍建华也是很神，华语影视圈除了他谁还能做到既英俊又油腻、既温柔又猥琐、既深情又虚伪、又帅气又恶心啊！,“有时候真觉得演员不爱读书是个文盲，都比演员热爱阅读并背诵饶雪漫什么的更让人安心。”,青春疼痛文学，剧情很套路，狗血堆积。不过尬到我的是霍建华的台词，像在念书，每一句话的节奏都一样,为什么我们还在拍这种狗血矫情莫名其妙毫无逻辑没有一个正常人的狗屎三角恋啊？为什么你们还要给这样的项目投资啊？？为什么啊？？？最后，马思纯和霍建华真的都只能演没表情的戏，稍有表情就尬出天际啊……
金都 ,剧情,7.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574853860.jpg,06/11/2020,"《金都》以坐落于太子的金都商场为背景，商场以售卖廉价婚礼商品闻名，电影的主角莉芳在商场的婚纱租赁店工作，与另一婚礼摄影店的年轻东主Edward拍拖七年，Edward被视为莉芳的白马王子，结婚似是迟早的事，但原来莉芳有个不能结婚的秘密。
                                    
                                　　「婚姻」一直被描绘为爱情的大团圆结局，三十开外的女性除了结婚生子，似乎没有出路。电影以太子的平民化婚庆圣地金都商场为背景，三十多岁的婚纱店员为了应付男友催婚，逼于处理早年为钱假结婚的烂摊子。每天都离不开婚嫁话题的她，如何选择自己的人生路向？",中国香港,枕边的男人以为她要的是童话婚礼，却不知她想搬离房顶漏水的金都。协议的男人可以向她描绘自由天空，却终要回到需要采购奶粉的福州。她要拿了礼金向宾客表演相爱，签了契约帮老公收拾马虎，打开漫游将自己锁入牢笼，或是下单买下自由。不愿变成因为婚姻不得翻身的龟，只想退化成用脚后跟可以蹲立的鸟。,永远长不大的废物港男，迟钝但至少觉醒的港女，习惯金钱先行但最终选择务实的内地男子，尽可能地放下地域刻板印象，又尽可能如实地反映了近20年来两地的新关系新矛盾，难得一见，耳目一新。,"導演最妙的地方在於她既是一個站在女性視角、對日常生活有深度思考和探索的作者，同時非常有幽默感。人生的困境和徬徨，兩地之間的差異，被她講的自然真實又俏皮輕盈。
「就算有了自由又怎樣呢？有了自由，你就真的知道自己要去哪裡嗎？」我想這不僅是導演的追問，也是我們這些還在這裡的人心中的追問吧。/ps，導演把福州拍成了一個農村是因為沒有拍攝許可只能在港村找地方假扮，請大家體諒一下小成本非合拍片的辛酸：）",还没说我允许，你就已经把裙子扔出去。还没说我愿意，你就已经把戒指戴上来。童话也许并不美丽，王子成为母后的棋子，公主化成沉默的影子。远方也许并不自由，结婚成为幸福的标榜，离婚仿佛人生的罪状。对于那些并未做好准备结婚的男女，婚姻的形式是大于内容的，明明感觉如置深渊，还要装作身在天堂。阿芳的第一次结婚是因为无知，这一次她不想结婚是因为开始有所知，结尾没有给出答案，恰恰也是一种答案：或许不知道自由是什么样，但至少知道不自由是什么样。先有自知，方有自由。以前常说要二人世界，婚后发觉，二人各有各的世界，才算是二人世界。多次出现的红绿灯听觉暗示很巧妙，我总觉得人在等红绿灯的时候是下意识焦虑的，阿芳面对绿灯路口，犹豫着该不该走，导演抓住了这个洞察。轻灵却有力道，许久不见的港片佳作。PS：海报上的囍是四个苦字。,太棒了👏！题材选的就好，聚焦一个香港女人结婚前后的各种纠结心态，却又没有局限于此，而是糅合进另一个香港社会问题，所以看出剧本实在是太扎实了，第一次看到香港电影对内地部分的戏这样真实，人物也很实在。表演上邓丽欣绝对是影后级的表现，但老实说男朋友、老公两个配角也演得相当不错👍，事实上，每个角色都恰如其分，真是太棒的香港电影了！
恐婚男女 ,,,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png,06/01/2007,描述：该片讲述了两个有恐婚症的男女周洋和顾小芹之间发生的故事，描绘了两人从不愿结婚到想要结婚的情感历程。影片围绕两条线索展开，一条是顾小芹和周洋之间的情感发展变化，另一条是顾小芹的男友阿成和周洋的女友玉华在求婚失败后所发生的故事。两条线索既各自进行又相互碰撞。男女主人公穿梭夹杂于两条线索之间，一边是对爱情的渴望，一边是对婚姻的恐惧。现实中的巧合，矛盾，使整部影片波澜起伏耐人回味。,中国香港,无意电视看到的 内地气息浓烈 小辣椒真的超级美,"《恐婚男女》
吝啬律师洁癖女，原生家庭苦乐异。
只愿自由不愿婚，伴侣分手各结缡。
缘来双亲力撮合，遇人如意恐婚愈。
闭环结构戏工整，港星来沪演喜剧。",前女友公众场合直接扑在男主身上，这情节太夸张了，树袋熊，哈哈哈,可能没啥恐婚不恐婚的 碰到了想永远在一起的人就会想结婚,看到李绮红好怀念啊，真的美啊，初中的时候
堕落天使 ,剧情、喜剧、爱情、犯罪,8.4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p449524516.jpg,09/06/1995,"天使1号（黎明）很懒惰，所以选择做了时间、地点、谁该死都不用操心的杀手。天使2号（李嘉欣）很冷艳，是1号的上线，喜欢华服夜出为1号清理房间。天使3号（金城武）很怪异，从不讲话的他爱做的事是半夜撬开别人的店面做生意和拿着摄像机将老爸拍个遍。天使4号（杨采妮）很“现实”，虽无法忘记旧 男友，却也能转身用另外的方式将自己安慰。天使5号（莫文蔚）很神经，喜欢在大雨夜冒出。
                                    
                                　　五位天使在自己的生活轨道上固执寂寞地前行着，为了避免换回更多伤心，他们在轨迹交叉时会提醒自己“忘记他是他”，可是，他们的真情还是会不由自主地流露出来。",中国香港,每个人都会有过去，就算你是一个杀手，也一样会有小学同学。,字幕：摄影助理-黎耀辉 第二组摄影助理-何宝荣,他们都没有和相爱的人做爱,这部电影让金城武现身说法讲述了一个发人深省的道理：帅的人不管做了什么，都可以被原谅。,"1.表面上看是王家卫最富喜剧色彩的影片,实而内里依旧忧伤孤寂:咫尺天涯的疏离感,难以消弭的记忆。2.以超广角镜(如李嘉欣自慰和饭馆抽烟近景),网状叙事,倾斜构图,手持与大量镜面反照凸显都市边缘人心底的空疏,失衡与顾影自怜。3.对衣(架)谈话与过期梗同[重庆森林]。4.按摩猪,父亲的录像。（9.0/10）"
牯岭街少年杀人事件 ,剧情、犯罪,8.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,07/27/1991,"结识小明（杨静怡）前，小四（张震）是典型的乖仔，是父母的希望和兄妹的骄傲（一家人指望他考上名牌大学将来提升全家的社会地位），他有一个喜欢摇滚乐的自称“小猫王（王启赞）”的好友，两人虽会去树林看人幽会，但过的是与周围诸多在“小公园”混的少年人完全两样的生活。
                                    
                                　　喜欢上小明后 ，小四便像跌进一个无底深渊，开始被外界的各种力量牵着鼻子走。新识仰慕对象honey（林鸿铭）意外身亡，一向敬重的父亲的自尊与精神因为某次事件严重受损，加上将一次次“欺骗玩弄”他感情的小明“看透”，血气方刚又有很强道德感的小四终于走上犯罪的道路，期望用自己的刀结束事件的根源。但小四不知的是，他眼中的根源只是这条食物链中微不足道的一环。",中国台湾,很多电影里都会杀人。只有在杨德昌的电影里，那不是杀人，那是整个世界的崩毁。他要你眼睁睁的看着，他用两个多小时创造的世界，在少年捅下去的那一刀里，灰飞烟灭。,海那边六十年代的生活跟海这边八、九十年代差不太多，但tmd海南边的学生凭什么人手一双converse？凭tm什么？,我在台南，无聊的要命，每天可以看几十本武侠小说。后来，我叫他们去帮我租最厚的小说来看。其实以前的人，跟我们现在出来混的人，真的很像。《战争与和平》，其他的武侠书名都不记得了，只记得这一本。妈的，我还真想写本小说咧，干，给以后像我这种人看。太晚了，书又读的不够多。,近四个小时的长片，我一直不入戏，张震也青涩得让我无感，直到Honey的出现，我才静了下来。这个小混混里的前老大，竟然穿着海军服，又帅又温和，席地而坐说起他看过的最厚的一本武侠书，叫《战争与和平》，英雄主义浪漫至极致的悲壮。,弱者送给弱者的一刀
九州·海上牧云记 ,剧情、奇幻、古装,6.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2387860006.jpg,11/21/2017,大端朝全盛之际，牧云皇族和穆如世家三百年的盟约因为一个预言而冰裂。预言说，六皇子牧云笙执剑则天下大乱，而穆如寒江将成为未来的皇帝。以牧云栾和牧云德为代表的地方势力密谋趁机夺权，为此不惜与邪恶势力合作。太子牧云笙不爱江山不信天命，为追寻真爱宁愿牺牲权力地位。穆如寒江生于世家长于市井，喜欢自由，又想守护秩序，历经艰险磨难，终于回归家族。硕风和叶在与穆如铁骑的战斗中失去了亲人和族人，经过了血与火的洗礼，生与死的诀别，人情的冷暖，权力的碰撞之后，他从一个复仇者成长为铁沁之王。,中国大陆,不是原著粉的觉得节奏慢很正常。可是原著粉的本人真的被制作方感动哭了。有生之年能看到一个真正的九州世界出现在眼前，感觉无法言喻。根本舍不得看快了。一二集是一帧帧看的。前面对世界观的铺垫很有必要。不然路人就更看不懂了。后面的剧情节奏也好很多了。,挺好的呀，和书比起来丰满了很多，节奏不觉得差，闪回过多剪辑不行是毛病，但是不影响我对这部剧的尊敬，服装道具剧情演技都在平均线以上，没有不服气的，感谢所有为剧付出的工作人员的演员们，你们挺优秀的。,制作精良，开篇大气，质感好，画风美，远镜头用的很棒，大气磅礴。然而难敌节奏，剪辑与台词的尴尬……有些确实精彩，但有些地方真的不必要且非常适合快进!,铁甲依然。。。哦，不好意思，铁甲被我拆了卖钱了。毕竟比起铁甲，钱我更喜欢。,实景漂亮，特效吹牛，人是真丑。形散又拖沓的叙事方式，的确不适合在电视上展示，卫视退剧可以理解。ps用75集讲了一个序的编剧可以封笔退出编剧界了。
独自等待 ,剧情、喜剧、爱情,8.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p486667524.jpg,09/08/2005,繁华都市之中，年轻的陈文（夏雨饰）和他的一班好友怀揣各自的梦想，终日徘徊在等待与寻觅的地平线上。在偶然邂逅理想中的爱情目标刘荣（李冰冰饰）之后，陈文渴望爱情的激情被瞬间点燃。在好友们（高旗、吴超、高亚麟等饰）的百般怂恿之下，经由绰号“孙子”（涂松岩饰）的所谓“恋爱专家”点拨，陈文不顾一切地是展出五花八门的求爱攻略，演绎出一幕幕颇具喜剧色彩的浪漫情节。然而此时，在他身旁暗中相助的多年玩伴李静（龚蓓苾饰），却在心中默默隐藏着对陈文的真爱。 在独自等待的人生旅途中，每一个青涩生命不断努力实践着梦想，在不知不觉中体味到成长的真实滋味……,中国大陆,结尾很好，没落到套路里。算是国内非常优秀的都市爱情电影了，到现在仍然算,好多没有解释的行为，没有结果的后来。人生或许就是这样。,喜欢夏雨。他的帅是朴实的。,“难道下个进门的就是我未来的对象吗？”  亮了！,龚蓓苾在里头太让我喜欢了，简直是我见过的最好看的女子
爱您爱到杀死您 ,喜剧、爱情,6.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2631642765.jpg,08/12/1997,"歌手朱金梅（郑秀文 饰）常常受到一些匿名的恐吓信，令经理人大为紧张，于是
                                    
                                　　警方派出黎树根（黎明 饰）假扮同性恋充当金梅的保姆，以便保护。原来一开始的匿名信只是某周刊记者的恶作剧，大家虚惊一场。一开始黎树根觉得朱金梅是一个十分傲慢、好高骛远的人，直到一次朱金梅说出了自己努力要向上爬的原因，使树根就此对她改观，并开始对她有好感，一路鼓励她不要为工作上对手的陷害而气馁。一名变态歌迷声称要绑架朱金梅，并说要与朱金梅一起殉情，令气氛再度紧张。此时朱金梅才发现原来树根就是警察，对树根的情感也浮出了水面。经理人决定让朱金梅暂时退出歌坛，在演唱会上，变态歌迷如期出现……",中国香港,早期脑残粉追星变态，这片名不知道的还以为主角是黎耀祥。郑秀文那几年开始崭露头角，黎明正红电影表现虽然一般般。干妈，奶妈，姑妈，姨妈还有什么妈，这gay里gay气的不知道还以为本人真是。唐宁演绎青涩的歌迷，客串的都是搞笑演员。,Leon和Sammi天昏地暗上天入地的热吻，一看就是个技巧娴熟的老司机2333。,剧本换任何一组卡司，黎明郑秀文，或郑伊健阿Sa，或吴彦祖杨千嬅，似乎都可以。,不记得了~~只是突然想起来看过他俩演的一个保护女明星的电影而已,两半。海报小图sammi就像李惠敏。整体都很随便，mi的造型比之前之后都差，大概是发色的缘故，情节甚至不如《保镖》紧张。看Yman这么疼mi，让我想翻《干柴烈火》出来看他相亲杨小姐暴扭古仔。黎明作为演员太高，作为角色太帅，前半个小时我甚至想李连杰可以演，真的一点化学反应都没有，明明他在Yes一族里可以顽皮可爱，不知为何大部分爱情片都木口木面被迫营业一样。吴君如出镜不多倒是瘦瘦爽爽，还和Yman凑一对。主角两人在餐厅一场背景走廊是哥哥那张金枝玉叶的剧照
爱情来了 ,喜剧,8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2593472540.jpg,09/16/1998,"电影分为三个短片。
                                    
                                　　阿盛在面包房工作，业余爱好是唱歌。某日，阿盛的小学同学丽华突然来到了店里买面包，然而丽华却并没有认出阿盛。阿盛爱上了丽华，却没有勇气向她表白心迹，于是他决定参加一场歌唱比赛，以彰显自己的真心。
                                    
                                　　某日，女孩捡到了一支手机，她联系上了失主，没想到两人却聊得特别投机。终于，在失主的要求下女孩决定同他见面，那隐藏在手机背后的，究竟会是一个怎样的人呢？
                                    
                                　　阿松是一名推销员，感情生活一片空白，事业亦死气沉沉没有希望。某日，他来到丽华的理发店，却目睹了一场捉奸的闹剧，丽华因为误会被卷入其中。阿松出手相救，两人逃到了天台之上。",中国台湾,长大后，你还相信世界上有隐形人吗？自杀前，你会回复我的传呼吗？伤心时，你还能为我剪一次发吗？爱情从没到来，只是人们愿意活在想象中，20世纪末台北街头景观，三个小故事活泼有趣，色彩鲜艳，节奏明快，陈玉勋拿捏得很稳，拍得很好看！台湾中影的这个高清修复，值。“我不愿看到你那湿润的眼睛，怕我会忍不住疼你怕你伤心，我不愿听见你说寂寞的声音，怕我会忍不住对你说我的真感情……”,太好看了，跟热带鱼的观感很像。台湾小幽默、可爱、单纯、忧郁。爱情终究没来到，但一直在来的路上。爱的心理的物象化，浪漫有趣，很多点到即止又耐人寻味。镜头细腻有灵气。结尾胖子在电视上唱伍佰的《牵挂》，认真唱起情歌的那种跑调、破音，尤其真挚动人。伍佰太好了。看到片尾字幕里有许杰辉、赵正平等，我又想念康熙艺人们。,勉强及格。开场的“狼之挽歌”电击棒，让人以为是喜剧基调呢，其实不是，它用卡通的配色，非戏剧化的慢调，拍胖面包师的追女纠结，拍胖妹的电话情缘，爱情来了么？实际是渴望爱情，这俩胖子都够卑微，这片子在叙事上有俩陷阱，一是人物状态如果有偏差容易导致主题变味，二是人物类似小学生的纯爱举动如果把控失当会显得主题过于简单，可惜，胖妹那种小动作过多的状态明显是还不适应摄影机存在，而第三段推销员瞬间完成蛋糕贴画的设计也显得编导压不住心态了，这些问题都显出电影制作上的糊弄。隐形人的故事不错。片尾加大了对都市寂寞人的描画，拔高了主题，展现台北风光和台漂生存状态的只言片语比做作幼稚的追逐爱情戏份更有价值。面包房小弟随时变换的发色，往面包里塞口香糖的黄子佼（还客串了电话男友），合租房三人组的天台放风，都市寂寞群像,20:02分，我醒来了。lock down第12天，核酸第9天，10个小时后的次日凌晨楼下会准时响起喇叭。冰箱里的食物所剩无几，所有的店铺都关门了，希望明天能买到蔬菜。吃完晚饭，整理硬盘里的一些旧电影。有的item已经消失了，永久成了历史，只留下一个六位数的imdb号，只好借楼标记。有的无法上传海报，这个世界每天消失的不止电影，还有很多不能言说的东西。豆友的疫情文学还在发酵，大家都在踊跃参与。2点43分，有点累了，开始看这部电影。片名《爱情来了》，但其实没有爱情，你为电话另一头的心上人减肥，结果换来汉堡王的一顿暴饮暴食；你去理发店推销防身枪，结果遇到了失恋的情人；你为了小学陪伴你的隐形人参加歌唱比赛，结果唱得贼难听，电视机前的她在沙发上哭笑不得。镜头扫过那些街景和楼宇，好想去一次台北，去淋雨，去天台，去蛋糕店。【DTS】,4.5陈玉勋的片都不讲什么大道理，也不去关注宏大叙事，都是关于一个个普通人的奇奇怪怪的日常，和他们与命运的有趣的互动，台北这座城市在陈玉勋的电影中也永远是那么地可爱和漂亮，电影中的三组故事的人物互相关联，他们在前一个故事中只是停留在中远景别中的过客，但接下来会有关于他们的特写的故事，原来我们在街头碰见的一个或者邋遢、或者奇怪、或者其貌不扬的平凡的小市民身上就有如此生动的故事，但这部清新与童话般的电影中的爱情故事几乎全部都是失败的结局，陈玉勋最厉害的恰恰就是把这些失败拍得非常地美好，让观众完全不会为他们感到遗憾，泪水和错过的戏码反而让我们看到了人物身上坚韧与努力的一面，他们实在是太懂得如何生活，如何去爱了，即使生活待我不公，将忧伤转化为喜悦也是生活赐予我的魔术，孤独是常态，但绝不是我们消沉的理由
我是顾家男 ,剧情、爱情,6.5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550472000.jpg,03/01/2019,"顾家南（黄健玮 饰）和徐双双（杨谨华 饰）是所谓的“不婚族”，表面上在公司是死对头，但私底下他们却秘密相爱已有一段时间。然而，家南最终失去了一个升官的机会，而升官的是双双。同时，家南现在住的房子即将被他的姑姑卖掉，他还要应对双双的女强人妈妈郑菲的不满和看不起。
                                    
                                　　这一系列的挑战和障碍，包括事业上的竞争、住房问题以及家庭压力，使得家南面临着艰巨的任务。故事的发展将围绕着他如何逐一排除这些障碍，以便能够顺利地和双双结婚展开，同时也强调了爱情与生活各个方面的冲突和挑战。",中国台湾,拍得好有烟火气，杨瑾华演技这么好？看了一集就觉得很接地气，没有整容脸，没有痴情总裁大人，相信很多人能从中找到自己的影子,还不错的,看黄健玮演偶像剧实在很奇怪,我居然看完了整部戲~這真的是因為對黃健瑋先生的愛好麼。and~我是想給一星的，兩星是因為這部戲黃先生哭太多次了，而且最後的那個吻感覺就是和我吻的~所以算了~兩星【屁啦,很久没看台剧 竟然觉得莫名好看 熬夜三天追完 还蛮现实的 很多剧情都感同身受 尤其第八集 家南独白那里哭的不要不要 “我的过去式 不想再眷恋 也不想再复习”这句 还有“你既喜欢他的柔软 却又痛恨他的柔软” 其实是可以值得思考的台剧 吹爆结局 很喜欢 看完是可以再相信爱情的（很烦男二好娘）
一个陌生女人的来信 ,剧情、爱情,7.6,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2528852561.jpg,03/04/2005,"1948年的深冬，作家（姜文）在41岁生日的晚上收到一封厚厚来信，此信出自一个濒死女人之手，所言是她对他将近20年的爱恋，但他却一无所知。
                                    
                                　　18年前，13岁的女孩爱上了住在隔壁的作家，因家变搬到了别处后，女孩并没对作家忘情。几年过去，女孩变成女学生（徐静蕾）回到原来的住处，如愿以偿与作家有了交往，但作家对眼前曾住在其隔壁的女学生没有任何印象。作家有事离开，自此音信全无，女学生在绝望的等待中生下她与作家的结晶，并为让孩子过上优越生活变作依附有钱男人的交际花。又过几年，女学生变成女人，再遇她深爱多年的作家时，对方仍没把她认出。",中国大陆,我也是这种女人，只是很遗憾，你没能成全我。让我苟活到现在。,看了三遍了。暗恋是一种病。,变成了东方式的暗恋，不能说不好，总是有些遗憾，姜文是好演员，不过不适合这个电影，不够英俊，不够万人迷，这个家伙有匪气，不如路易斯·乔丹一下子就能俘获一个女孩的心。那封信写的也不好，废话太多，有些话用镜头说就好了，总是念白，韵也没了。文艺腔也太重。配乐帮助了你许多。,"音乐不错.我喜欢那个小姑娘.穿着棉袍子,眼神倔强清冽.",徐静蕾不适合演这个女主角，姜文不适合演这个男主角，其他都不错。
非诚勿扰 ,喜剧、爱情,7.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p484914984.jpg,12/18/2008,"海归秦奋（葛优 饰）的天才发明“分歧终端机”因能公平和平地解决人类分歧，被风投者以200万英镑高价买走。秦奋也开始踏上网上征婚的路途，一路笑话不断，不是重遇Gay友，就是遇到推销客，秦奋颇有点心灰意冷，以致遇到清冷女子梁笑笑（舒淇 饰）时便开门见山请求对方说明来意。这次更为棘手，笑笑爱上有妇之夫，陷于苦恋中不停挣扎，这次纯属听从家里人安排才出来与秦奋见上一面。不再打算再见的二人尽情地分享了生命中最隐秘的秘密。
                                    
                                　　然而不久，打算和旧爱分手的笑笑找到秦奋，说要嫁给他,但想与他先去北海道一趟。因她与旧爱的爱情是在那里开始的，如今想在那里结束。秦奋答应了。二人踏上北海道之旅，秦奋在北海道的老友对他们盛情招待，三人游遍北海道各处，秦奋知道自己得不到笑笑的心，却不知道笑笑心中抑郁难解的结正冲向海底的漩涡……",中国大陆,我必须承认，这种豆瓣上很多人给两星三星的片子我也会看出眼泪来，在葛优和舒淇说，你可真够调皮的，比我还不省心那。,不管怎样，这片当年我还是会打五星的，日本的风景可还真美,冯小刚终究未能明白自己想讲的故事风格，正如全片的电影音乐，风格不一。除却风格不一这点，大部分音乐真的很好听，把故事的境界提升到另一个层次。最爱的段落是葛优与老友分别后，老友驾驶在北海道路段上，唱歌到泪流满面。,你要找个帅哥就别来了，，，你要真是一个仙女我也接不住。心眼别太多，岁数别太小。台词句句经典。,＂钱不是问题，真正缺的是朋友。最近这些年我经常感到非常孤独，那个时刻就很想念你们。＂心有戚戚焉。
天台的月光 ,爱情,7.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2079157952.jpg,09/16/1993,"叶晓彤（叶玉卿 饰）是一名收银员，她的丈夫阿波抛弃了她离家出走，天真单纯的叶晓彤又误入骗局，正在孤立无援之际， 是住在同一栋大楼的警察刘正文（梁家辉 饰）向她伸出了援手。在刘正文的帮助下，叶晓彤得到了一份汽车推销员的工作，然而叶晓彤对汽车一无所知，于是刘正文从零开始一点一滴的教导她，在此过程中，两人之间碰撞出了爱情的火花。
                                    
                                　　正当他们的感情逐渐升温之时，阿波回到了叶晓彤的身边，这一次，叶晓彤不再软弱，她果断的拒绝了阿波的求和，决定寻找自己新的生活。然而，对于接受一段新的感情，叶晓彤始终犹豫不决，巧合的是，刘正文也是如此。",中国香港,“我这个人一上了床，就会失去IQ“，多少女人能分清真或假，是啊梁家辉你干嘛要跳窗逃走。那个BB好可爱，另外刘嘉玲阿姨有客串。,做人傻一点，世界快乐一点。不是每一个艳星都能留下一部让人回忆的正片的,Not Suitable For Children。雨中找BB互相责备那段最好看。“我不嬲食开大茶饭嘅，但我今日想食住家饭” // 叶玉卿1993年凭《天台的月光》提名金像奖及金马奖影后，成功摆脱艳星形象。,俗桥的集大成者，傻人教世人相信求助者，到《囧途》都有。好在两位主演都很有 魅力。陈令智！看警局女友口型是国语，长得几分像夏文汐，原来是《广昌隆》的陶君薇，美的。还以为“张金泉”会是叶玉卿老公呢，这里又反套路。叶玉卿继续《望父成龙》的傻大姐，身材好相貌佳婴儿脑的梦中人设。BB仔小孩常有尴尬的笑容。张叔平拍刘嘉玲的胯骨轴,叶玉卿其实很会演戏，在红玫瑰与白玫瑰里也得到了证实。
